row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
12876,Childs Hunger Fund,childshungerfund,childrenshungerfund,91.42857142857143,954335462
12878,Native American Rehabilitation Assoc of the Northwest Inc,nativeamericanrehabilitationassocofthenorthwestinc,nativeamericanrehabilitationassociationofthenorthwestinc,94.33962264150944,237098400
12885,Native American Community Services of Erie and Niagara Counties,nativeamericancommunityservicesoferieandniagaracounties,nativeamericancommunityservicesoferieandniagaracountyinc,95.4954954954955,161043710
12887,Society for Advancement of Chicanos & Native Americans in Science Inc.,societyforadvancementofchicanosnativeamericansinscienceinc,societyforadvancementofchicanosandnativeamericansinscience,94.82758620689656,521443811
12889,Native American Housing Services Inc.,nativeamericanhousingservicesinc,nativeamericanhousingservicein,96.7741935483871,731572250
12890,Native American Disability Law Center Inc.,nativeamericandisabilitylawcenterinc,nativeamericandisabilitylawcenter,95.65217391304348,352238666
12894,Native American Development Corporation,nativeamericandevelopmentcorporation,iberoamericandevelopmentcorporation,90.14084507042254,161303858
12898,Sacramento Native American Health Center Inc.,sacramentonativeamericanhealthcenterinc,sacramentonativeamericanhealthcenter,96.0,204287737
12899,Native American Finance Officers Association Inc.,nativeamericanfinanceofficersassociationinc,nativeamericanfinanceofficerassociation,95.1219512195122,383419567
12910,Native American Advancement Foundation Inc.,nativeamericanadvancementfoundationinc,nativeamericanadvancementfoundation,95.89041095890411,452725155
12914,Texas Botanical Gardens and Native American Interpretive Center Inc.,texasbotanicalgardensandnativeamericaninterpretivecenterinc,texasbotanicalgardensandnaamericaninterpretivecenter,93.69369369369369,201111056
12921,Standing Bear Native American Foundation,standingbearnativeamericanfoundation,standingbearnativeamericanfoundationinc,96.0,731450126
